Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
1,153.600006,48.0,0.0,0.5332,230.399994,672.0,26.0,3.6292,0.0,112.0,364.0,2.5026
2,307.200012,72.0,0.0,0.9116,326.399994,1008.0,62.400002,5.4352,19.200001,168.0,582.400024,4.0936
3,422.399994,112.0,0.0,1.2986,441.600006,1328.0,83.199997,7.3272,0.0,240.0,832.0,5.7362
4,576.0,144.0,0.0,1.72,537.599976,1632.0,104.0,9.0472,19.200001,304.0,1050.400024,7.3616
5,710.400024,192.0,0.0,2.1242,633.599976,1928.0,98.800003,10.6468,19.200001,372.0,1279.199951,8.9526
6,844.799988,216.0,0.0,2.5628,710.400024,2212.0,135.199997,12.255,57.599998,440.0,1508.0,10.5608
7,998.400024,264.0,0.0,3.0272,825.599976,2496.0,156.0,13.9664,57.599998,504.0,1726.400024,12.1174
8,1152.0,296.0,0.0,3.4142,883.200012,2760.0,176.800003,15.566,38.400002,584.0,1955.199951,13.6912
9,1305.599976,336.0,0.0,3.913,960.0,3024.0,213.199997,17.079599,38.400002,636.0,2184.0,15.2908
10,1440.0,376.0,0.0,4.3516,1056.0,3296.0,228.800003,18.5502,86.400002,712.0,2397.199951,16.77
11,1593.599976,416.0,0.0,4.7472,1132.800049,3536.0,249.600006,20.003599,96.0,784.0,2610.399902,18.249201
12,1728.0,456.0,0.0,5.246,1190.400024,3800.0,260.0,21.4312,76.800003,832.0,2839.199951,19.711201
13,1881.599976,496.0,0.0,5.6588,1248.0,4016.0,280.799988,22.8416,115.199997,888.0,3036.800049,21.190399
14,2016.0,552.0,0.0,6.1232,1324.800049,4256.0,291.200012,24.174601,115.199997,952.0,3244.800049,22.618
15,2188.800049,576.0,0.0,6.5446,1382.400024,4460.0,343.200012,25.4216,96.0,1008.0,3442.399902,24.0284
16,2323.199951,616.0,0.0,7.0004,1459.199951,4680.0,343.200012,26.8578,115.199997,1072.0,3640.0,25.378599
17,2476.800049,656.0,0.0,7.4734,1516.800049,4912.0,364.0,28.1306,115.199997,1128.0,3863.600098,26.8664
18,2630.399902,692.0,0.0,7.9206,1593.599976,5136.0,390.0,29.506599,124.800003,1192.0,4076.800049,28.156401
19,2784.0,728.0,0.0,8.3764,1632.0,5328.0,405.600006,30.753599,134.399994,1240.0,4264.0,29.618401
20,2918.399902,768.0,0.0,8.8236,1708.800049,5528.0,426.399994,32.0522,144.0,1304.0,4451.200195,30.9342
21,3072.0,800.0,10.4,9.2794,1766.400024,5728.0,436.799988,33.3078,153.600006,1360.0,4654.0,32.344601
22,3216.0,856.0,0.0,9.761,1824.0,5960.0,468.0,34.511799,172.800003,1416.0,4872.399902,33.6432
23,3360.0,888.0,0.0,10.2082,1843.199951,6172.0,478.399994,35.784599,192.0,1468.0,5033.600098,34.9762
24,3513.600098,928.0,10.4,10.6554,1920.0,6360.0,499.200012,36.9972,211.199997,1512.0,5252.0,36.292
25,3667.199951,960.0,5.2,11.1198,1996.800049,6528.0,530.400024,38.209801,192.0,1564.0,5423.600098,37.6422
26,3840.0,1008.0,5.2,11.5756,2025.599976,6736.0,509.600006,39.396599,172.800003,1632.0,5610.799805,38.889198
27,3916.800049,1048.0,0.0,12.0314,2073.600098,6928.0,551.200012,40.6264,192.0,1696.0,5798.0,40.256599
28,4128.0,1080.0,0.0,12.4528,2112.0,7100.0,582.400024,41.8218,211.199997,1744.0,6011.200195,41.366001
29,4243.200195,1128.0,10.4,12.9344,2188.800049,7304.0,598.0,42.914001,192.0,1792.0,6167.200195,42.6646
30,4396.799805,1160.0,0.0,13.3644,2227.199951,7480.0,613.599976,43.817001,211.199997,1828.0,6344.0,44.014801
31,4531.200195,1196.0,0.0,13.717,2284.800049,7656.0,624.0,45.124199,230.399994,1896.0,6500.0,44.917801
32,4684.799805,1232.0,0.0,14.1298,2323.199951,7808.0,639.599976,46.096001,230.399994,1940.0,6650.799805,46.285198
33,4780.799805,1272.0,5.2,14.7146,2361.600098,8016.0,660.400024,47.342999,249.600006,1984.0,6874.399902,47.523602
34,4992.0,1320.0,0.0,15.093,2438.399902,8208.0,686.400024,48.4352,211.199997,2048.0,7025.200195,48.684601
35,5145.600098,1368.0,5.2,15.5832,2467.199951,8356.0,696.799988,49.493,249.600006,2088.0,7217.600098,49.948799
36,5260.799805,1400.0,5.2,16.021799,2496.0,8528.0,728.0,50.559399,249.600006,2152.0,7373.600098,51.144199
37,5395.200195,1424.0,5.2,16.469,2572.800049,8696.0,738.400024,51.643002,268.799988,2200.0,7586.799805,52.2192
38,5568.0,1472.0,0.0,16.9592,2592.0,8880.0,759.200012,52.683601,249.600006,2256.0,7716.799805,53.3974
39,5702.399902,1504.0,5.2,17.3806,2649.600098,9024.0,748.799988,53.7672,268.799988,2304.0,7898.799805,54.610001
