Current,R_R,R_G,R_B,R_L,G_R,G_G,G_B,G_L,B_R,B_G,B_B,B_L
0,0,0,0,0,0,0,0,0,0,0,0,0
1,153.600,36.000,0.000,0.456,230.400,672.000,26.000,3.629,0.000,112.000,364.000,2.503
2,307.200,72.000,0.000,0.912,326.400,1008.000,62.400,5.435,19.200,168.000,582.400,4.094
3,422.400,112.000,0.000,1.299,441.600,1328.000,83.200,7.327,0.000,240.000,832.000,5.736
4,576.000,144.000,0.000,1.720,537.600,1632.000,104.000,9.047,19.200,304.000,1050.400,7.362
5,710.400,192.000,0.000,2.124,633.600,1928.000,98.800,10.647,19.200,372.000,1279.200,8.953
6,844.800,216.000,0.000,2.563,710.400,2212.000,135.200,12.255,57.600,440.000,1508.000,10.561
7,998.400,264.000,0.000,3.027,825.600,2496.000,156.000,13.966,57.600,504.000,1726.400,12.117
8,1152.000,296.000,0.000,3.414,883.200,2760.000,176.800,15.566,38.400,584.000,1955.200,13.691
9,1305.600,336.000,0.000,3.913,960.000,3024.000,213.200,17.080,38.400,636.000,2184.000,15.291
10,1440.000,376.000,0.000,4.352,1056.000,3296.000,228.800,18.550,86.400,712.000,2397.200,16.770
11,1593.600,416.000,0.000,4.747,1132.800,3536.000,249.600,20.004,96.000,784.000,2610.400,18.249
12,1728.000,456.000,0.000,5.246,1190.400,3800.000,260.000,21.431,76.800,832.000,2839.200,19.711
13,1881.600,496.000,0.000,5.659,1248.000,4016.000,280.800,22.842,115.200,888.000,3036.800,21.190
14,2016.000,552.000,0.000,6.123,1324.800,4256.000,291.200,24.175,115.200,952.000,3244.800,22.618
15,2188.800,576.000,0.000,6.545,1382.400,4460.000,343.200,25.422,96.000,1008.000,3442.400,24.028
16,2323.200,616.000,0.000,7.000,1459.200,4680.000,343.200,26.858,115.200,1072.000,3640.000,25.379
17,2476.800,656.000,0.000,7.473,1516.800,4912.000,364.000,28.131,115.200,1128.000,3863.600,26.866
18,2630.400,692.000,0.000,7.921,1593.600,5136.000,390.000,29.507,124.800,1192.000,4076.800,28.156
19,2784.000,728.000,0.000,8.376,1632.000,5328.000,405.600,30.754,134.400,1240.000,4264.000,29.618
20,2918.400,768.000,0.000,8.824,1708.800,5528.000,426.400,32.052,144.000,1304.000,4451.200,30.934
21,3072.000,800.000,10.400,9.279,1766.400,5728.000,436.800,33.308,153.600,1360.000,4654.000,32.345
22,3216.000,856.000,0.000,9.761,1824.000,5960.000,468.000,34.512,172.800,1416.000,4872.400,33.643
23,3360.000,888.000,0.000,10.208,1843.200,6172.000,478.400,35.785,192.000,1468.000,5033.600,34.976
24,3513.600,928.000,10.400,10.655,1920.000,6360.000,499.200,36.997,211.200,1512.000,5252.000,36.292
25,3667.200,960.000,5.200,11.120,1996.800,6528.000,530.400,38.210,192.000,1564.000,5423.600,37.642
26,3840.000,1008.000,5.200,11.576,2025.600,6736.000,509.600,39.397,172.800,1632.000,5610.800,38.889
27,3916.800,1048.000,0.000,12.031,2073.600,6928.000,551.200,40.626,192.000,1696.000,5798.000,40.257
28,4128.000,1080.000,0.000,12.453,2112.000,7100.000,582.400,41.822,211.200,1744.000,6011.200,41.366
29,4243.200,1128.000,10.400,12.934,2188.800,7304.000,598.000,42.914,192.000,1792.000,6167.200,42.665
30,4396.800,1160.000,0.000,13.364,2227.200,7480.000,613.600,43.817,211.200,1828.000,6344.000,44.015
31,4531.200,1196.000,0.000,13.717,2284.800,7656.000,624.000,45.124,230.400,1896.000,6500.000,44.918
32,4684.800,1232.000,0.000,14.130,2323.200,7808.000,639.600,46.096,230.400,1940.000,6650.800,46.285
33,4780.800,1272.000,5.200,14.715,2361.600,8016.000,660.400,47.343,249.600,1984.000,6874.400,47.524
34,4992.000,1320.000,0.000,15.093,2438.400,8208.000,686.400,48.435,211.200,2048.000,7025.200,48.685
35,5145.600,1368.000,5.200,15.583,2467.200,8356.000,696.800,49.493,249.600,2088.000,7217.600,49.949
36,5260.800,1400.000,5.200,16.022,2496.000,8528.000,728.000,50.559,249.600,2152.000,7373.600,51.144
37,5395.200,1424.000,5.200,16.469,2572.800,8696.000,738.400,51.643,268.800,2200.000,7586.800,52.219
38,5568.000,1472.000,0.000,16.959,2592.000,8880.000,759.200,52.684,249.600,2256.000,7716.800,53.397
39,5702.400,1504.000,5.200,17.381,2649.600,9024.000,748.800,53.767,268.800,2304.000,7898.800,54.610
40,5875.200,1552.000,10.400,17.802,2707.200,9196.000,800.800,54.739,268.800,2348.000,8034.000,55.823
41,6028.800,1584.000,15.600,18.301,2745.600,9368.000,811.200,55.762,268.800,2376.000,8236.800,56.966
42,6163.200,1616.000,0.000,18.774,2784.000,9520.000,826.800,56.786,307.200,2448.000,8398.000,58.162
43,6316.800,1664.000,10.400,19.178,2822.400,9672.000,847.600,57.809,307.200,2504.000,8580.000,59.280
44,6470.400,1696.000,5.200,19.677,2860.800,9816.000,868.400,58.850,288.000,2544.000,8725.600,60.303
