Percent,d_R,d_G,d_B,dim_R,dim_G,dim_B,c_R,c_G,c_B
0,0,0,0,0,0,0,0.0,0.0,0.0
1,4,1,2,191,134,138,3.2238,0.525,1.2306
2,6,2,3,235,131,171,5.5981,1.0476,2.1331
3,8,2,4,249,196,183,7.8425,1.5473,3.0161
4,11,3,4,232,174,244,10.0742,2.0483,3.8537
5,13,3,5,239,218,238,12.2949,2.5623,4.6992
6,15,4,6,246,197,234,14.4997,3.0773,5.5498
7,17,4,7,250,230,233,16.6728,3.5986,6.4171
8,19,5,8,252,213,231,18.8086,4.1257,7.2938
9,22,5,9,243,239,230,21.0907,4.6726,8.1563
10,24,6,10,246,225,230,23.215,5.2317,9.0197
11,26,6,10,249,248,253,25.371,5.8093,9.9254
12,28,7,11,251,234,250,27.5774,6.3866,10.806
13,30,7,12,252,254,250,29.6662,6.9639,11.7334
14,32,8,13,255,241,248,31.9626,7.5287,12.6574
15,35,9,14,249,233,247,34.05,8.1044,13.5783
16,37,9,15,250,249,248,36.3585,8.7399,14.5504
17,39,10,16,252,242,249,38.5705,9.3839,15.56
18,41,11,17,254,235,249,40.7631,10.0332,16.5473
19,43,11,18,255,248,248,42.9772,10.6747,17.5064
20,46,12,19,250,242,248,45.0531,11.3159,18.4721
21,48,12,20,252,254,248,47.3227,11.9571,19.4577
22,50,13,21,252,249,249,49.5224,12.6379,20.456
23,52,14,22,254,246,250,51.7529,13.3476,21.4899
24,55,15,23,250,241,250,54.0535,14.0789,22.5176
25,57,15,24,251,251,251,56.1481,14.75,23.5767
26,59,16,25,253,248,251,58.3949,15.4663,24.6285
27,61,17,26,253,245,252,60.6417,16.1993,25.6606
28,63,17,27,254,254,252,62.82,16.9062,26.7082
29,66,18,28,252,251,253,65.0469,17.6252,27.7317
30,68,19,29,253,249,254,67.2434,18.3801,28.9191
31,70,20,31,253,246,247,69.5531,19.1606,30.0586
32,72,20,32,254,254,250,71.842,19.9002,31.0682
33,74,21,33,255,251,251,73.9774,20.6365,32.3528
34,77,22,34,253,250,251,76.3325,21.414,33.4503
35,79,23,35,253,249,252,78.5564,22.2435,34.5217
36,81,24,36,255,247,252,80.8591,23.0956,35.6168
37,84,24,37,253,254,254,83.2316,23.9054,36.8366
38,86,25,38,254,252,255,85.4913,24.6367,37.9687
39,88,26,40,255,251,250,87.9202,25.4277,39.1394
40,91,27,41,253,249,252,90.231,26.268,40.3483
41,93,28,42,254,248,252,92.5459,27.0665,41.5327
42,95,28,43,255,254,254,94.8992,27.8897,42.7421
43,98,29,44,254,253,255,97.521,28.7428,43.9874
44,100,30,46,255,252,251,99.99,29.59,45.0997
45,103,31,47,253,252,252,102.1121,30.5315,46.3832
46,105,32,48,254,251,254,104.7151,31.4506,47.7677
47,108,33,49,253,251,254,107.1619,32.2957,48.898
48,110,34,51,253,251,251,109.4439,33.1942,50.1804
49,112,35,52,255,250,253,111.8823,34.1236,51.5069
50,115,36,53,253,249,254,114.2421,35.0179,52.7443
51,117,36,54,254,254,255,116.5151,35.8912,53.9236
52,120,37,56,254,255,252,119.2639,36.8995,55.2317
53,122,38,57,254,254,254,121.7712,37.7975,56.6603
54,125,39,58,254,254,254,124.3842,38.7251,57.8665
55,127,40,60,254,253,252,126.5524,39.6534,59.2241
56,129,41,61,255,253,253,128.9405,40.5955,60.4584
57,132,42,62,254,253,255,131.3782,41.5961,61.8729
58,134,43,64,255,253,253,133.9745,42.5386,63.2529
59,137,44,65,254,253,253,136.5976,43.5208,64.5447
60,140,45,66,254,253,254,139.3368,44.5077,65.7862
61,142,46,68,254,253,253,141.615,45.4656,67.285
62,145,47,69,254,253,254,144.2087,46.5432,68.6546
63,147,48,70,254,253,255,146.6246,47.5574,69.9814
64,150,49,72,254,254,253,149.1847,48.5839,71.2735
65,153,50,73,253,254,255,152.0446,49.6676,72.9078
66,155,51,75,254,254,253,154.697,50.7069,74.1248
67,158,52,76,254,254,254,157.252,51.735,75.586
68,161,53,78,254,254,252,160.1468,52.6852,77.1569
69,163,54,79,254,254,254,162.628,53.7288,78.5057
70,166,56,80,254,252,255,165.3528,55.0592,79.9939
71,169,57,82,253,251,254,168.1223,56.0747,81.4251
72,171,57,83,255,255,255,170.8423,56.953,82.9416
73,174,58,85,254,255,254,173.3694,57.9863,84.4907
74,177,60,87,254,253,252,176.1264,59.1051,86.0842
75,180,61,88,254,253,254,179.0168,60.3775,87.4671
76,182,62,89,254,253,255,181.498,61.4479,88.9896
77,185,63,91,255,254,254,184.2023,62.5631,90.498
78,188,64,93,254,255,253,187.2855,63.9168,92.1526
79,190,65,94,255,255,254,189.9081,64.9049,93.6477
80,194,67,96,253,253,253,193.0722,66.0595,95.1729
81,196,68,98,255,253,253,195.7956,67.2978,97.0141
82,199,69,99,254,254,254,198.4008,68.4191,98.4803
83,202,70,101,254,254,253,201.1959,69.5874,100.1652
84,205,71,102,254,255,255,204.2234,70.8077,101.7796
85,208,73,104,255,253,254,207.5771,72.0882,103.357
86,211,74,106,254,253,253,210.5917,73.2369,105.0713
87,214,75,107,255,254,254,213.5259,74.4287,106.5467
88,217,76,109,255,255,254,216.8853,75.7771,108.283
89,221,77,110,254,254,255,220.1268,76.7926,109.8773
90,223,79,112,255,253,254,222.9041,78.1569,111.7049
91,227,80,114,254,253,254,226.012,79.298,113.3779
92,230,81,116,254,254,253,229.1899,80.5157,115.0356
93,233,82,117,255,255,255,232.3791,81.9174,116.7713
94,236,84,119,254,253,254,235.4083,83.2327,118.3728
95,239,85,121,254,254,254,238.6175,84.383,120.2201
96,243,86,122,254,254,255,242.0759,85.7388,121.905
97,245,88,124,255,253,254,244.8009,87.0915,123.5518
98,249,89,126,255,254,254,248.5315,88.3537,125.2481
99,252,90,128,255,254,253,251.6679,89.654,127.1762
100,255,91,129,255,255,255,255.0,90.9823,128.7457
